no,ipsl_id,facility,ward,subcounty,county,mfl_code,orgunitid,support_period,programs,mechanism_name,attribution_id
1,18134,Lwala Dispensary,South kanyamkago Ward,Uriri Sub County,Migori County,20385,7680,2019Q1,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
2,18132,Kamsaki Dispensary,South kanyamkago Ward,Uriri Sub County,Migori County,21411,4927,2019Q1,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
3,18131,Bware Health Center,South kanyamkago Ward,Uriri Sub County,Migori County,13519,4630,2019Q1,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
4,18130,Wangiya dispensary,North kanyamkago Ward,Uriri Sub County,Migori County,20074,4953,2019Q1,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
5,18129,St Monica Rapogi Health Centre,North kanyamkago Ward,Uriri Sub County,Migori County,14121,7663,2019Q1,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
6,18128,Othoro Sub County Hospital,North kanyamkago Ward,Uriri Sub County,Migori County,14003,7784,2019Q1,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
7,18127,Ongito Dispensary,North kanyamkago Ward,Uriri Sub County,Migori County,13988,7640,2019Q1,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
8,18126,Nyamasare Dispensary,North kanyamkago Ward,Uriri Sub County,Migori County,13900,7884,2019Q1,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
9,18125,Koloo Dispensary,North kanyamkago Ward,Uriri Sub County,Migori County,17038,7734,2019Q1,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
10,18124,Thim Jope Dispensary,East Kanyamkago Ward,Uriri Sub County,Migori County,20073,6721,2019Q1,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
11,18123,Oyani Sub County Hospital,East Kanyamkago Ward,Uriri Sub County,Migori County,14009,7494,2019Q1,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
12,18122,Uriri Sub County Hospital,Central kanyamkago Ward,Uriri Sub County,Migori County,14161,3858,2019Q1,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
13,18121,Piny Owacho Dispensary,Central kanyamkago Ward,Uriri Sub County,Migori County,17343,7660,2019Q1,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
14,18120,Omulo Dispensary,Central kanyamkago Ward,Uriri Sub County,Migori County,20067,11207,2019Q1,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
15,18119,Ombo Kowiti Dispensary,Central kanyamkago Ward,Uriri Sub County,Migori County,17039,7659,2019Q1,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
16,18118,St. Paul's Dawa Medical Clinic,Central kanyamkago Ward,Uriri Sub County,Migori County,23290,2171111,2019Q1,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
17,18117,Neo care Memorial Hospital,South kanyamkago Ward,Uriri Sub County,Migori County,23755,2170987,2019Q1,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
18,18116,magacha dispensary,Wiga Ward,Suna West Sub County,Migori County,22092,13240,2019Q1,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
19,18115,God Kwer Dispensary,Wiga Ward,Suna West Sub County,Migori County,13583,12382,2019Q1,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
20,18114,Arombe Dispensary,Wiga Ward,Suna West Sub County,Migori County,13486,2138,2019Q1,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
21,18113,Nyamaraga Sub County Hospital,Wasimbete Ward,Suna West Sub County,Migori County,13897,7383,2019Q1,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
22,18112,Bondo Dispensary,Waseweta ii Ward,Suna West Sub County,Migori County,21191,4365,2019Q1,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
23,18111,Giribe Dispensary,Wasimbete Ward,Suna West Sub County,Migori County,13576,2720,2019Q1,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
24,18110,Nyamilu Dispensary,Waseweta ii Ward,Suna West Sub County,Migori County,21192,2495,2019Q1,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
25,18109,Masaria Dispensary,Wasimbete Ward,Suna West Sub County,Migori County,21193,4655,2019Q1,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
26,18108,Suna Ragana Dispensary,Oruba Ward,Suna West Sub County,Migori County,14136,7368,2019Q1,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
27,18107,St Akidiva Memorial Hospital,Waseweta ii Ward,Suna West Sub County,Migori County,14101,5206,2019Q1,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
28,18106,Pastor Machage Memorial Hospital,Oruba Ward,Suna West Sub County,Migori County,14014,7394,2019Q1,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
