no,ipsl_id,facility,ward,subcounty,county,mfl_code,orgunitid,support_period,programs,mechanism_name,attribution_id
1,23917,Buchangu Dispensary,Bunyala central Ward,Navakholo Sub County,Kakamega County,15810,2447,2019Q4,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
2,23615,Elwangale Health Centre,Kisa East Ward,Khwisero Sub County,Kakamega County,16714,2630,2019Q4,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
3,23616,Namasoli Health Centre,Kisa Central Ward,Khwisero Sub County,Kakamega County,16065,17413,2019Q4,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
4,23617,Munyanza Nursing Home,Kisa Central Ward,Khwisero Sub County,Kakamega County,16045,17203,2019Q4,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
5,23618,Mundoli Health Centre,Kisa Central Ward,Khwisero Sub County,Kakamega County,16040,17157,2019Q4,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
6,23619,Mulwanda Dispensary,Kisa Central Ward,Khwisero Sub County,Kakamega County,16033,2651,2019Q4,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
7,23620,Emutsesa Health Centre,Kisa Central Ward,Khwisero Sub County,Kakamega County,16055,17168,2019Q4,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
8,23621,Emahene Medical Clinic,Kisa Central Ward,Khwisero Sub County,Kakamega County,18165,17328,2019Q4,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
9,23622,Ekambuli Health Centre,Kisa Central Ward,Khwisero Sub County,Kakamega County,20673,17264,2019Q4,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
10,23623,Bukwala SDA Dispensary,Kisa Central Ward,Khwisero Sub County,Kakamega County,18315,17327,2019Q4,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
11,23624,Sibuoche Dispensary,West Kanyamkago Ward,Uriri Sub County,Migori County,14082,7588,2019Q4,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
12,23625,Osogo Dispensary,West Kanyamkago Ward,Uriri Sub County,Migori County,13997,7587,2019Q4,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
